profile_id,profile_name,identity_id,first_name,last_name,nickname,birth_year,email_address,phone_number,street_number,street_name,city,state,country,zip_code
c8eec1aa-0fa0-40f7-b5f3-69ad4b362c57,Alfredo Rose,9538f6a2-c14d-4bff-8ebf-18f6fdd821bb,Alfredo,Rose,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
c8eec1aa-0fa0-40f7-b5f3-69ad4b362c57,Alfredo Rose,24f3d9f2-6097-4a4b-969e-f5a32be9c142,Alfredo,Rose,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
c8eec1aa-0fa0-40f7-b5f3-69ad4b362c57,Alfredo Rose,60890c7e-6a7d-43a3-8069-eddb0edddb2d,Alfredo,Rose,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
68a60761-b700-4120-a692-1d5272fd7e89,Alfredo Rose,46a89a38-4df0-4bc1-9c3d-6e08b717c076,Alfredo,Rosd,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
68a60761-b700-4120-a692-1d5272fd7e89,Alfredo Rose,87b1ecce-f8d9-4cd0-aab0-0b2d338422c1,Alfredo,Rosd,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
68a60761-b700-4120-a692-1d5272fd7e89,Alfredo Rose,850ffa6b-d654-425b-a02f-1b58089eaabe,Alfredo,Rosd,Alfredo,1974,alfredorose1974@hotmail.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
f33b2471-0689-448f-8064-0a0c551ca39a,Alfredo Rose,e126d694-9cfe-416b-a102-ec3868b52c79,Alfredo,Rosd,Alfredo,1974,alfredorosd52@yahoo.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
f33b2471-0689-448f-8064-0a0c551ca39a,Alfredo Rose,0bb57d69-82db-413f-bc32-d6bd512cbfd5,Alfredo,Rosd,Alfredo,1974,alfredorosd52@yahoo.com,4439124756,3559,W Dallas St,San Mateo,Oregon,United States,29118
019f628e-4229-4765-88db-c1789b83dd53,Maurice Day,361c3771-e636-42aa-bbc3-19d5961dffe2,Maurice,Day,morey,1969,mauriceday1969@yahoo.com,5338079324,7683,Dane St,Naperville,Arkansas,United States,87588
019f628e-4229-4765-88db-c1789b83dd53,Maurice Day,10d9bc81-4277-40a6-b892-554be61ce1e1,Maurice,Day,morey,1969,mauriceday1969@yahoo.com,5338079324,7683,Dane St,Naperville,Arkansas,United States,87588
019f628e-4229-4765-88db-c1789b83dd53,Maurice Day,c9935cb7-1a47-406d-887f-249f651a8369,Maurice,Day,morey,1969,mauriceday1969@yahoo.com,5338079324,7683,Dane St,Naperville,Arkansas,United States,87588
